Rk,Player,Age,Pos,G,GS,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Awards,Player-additional
1,Trae Young,23,PG,76,76,2652,25.4,.603,.395,.358,2.1,9.6,5.9,46.7,1.3,0.2,14.5,34.4,9.0,1.0,10.0,.181,7.1,-2.0,5.2,4.8,ASNBA3,youngtr01
2,Kevin Huerter,23,SF,74,60,2188,11.9,.570,.541,.068,1.6,11.0,6.4,13.2,1.2,1.1,10.4,17.5,1.8,1.0,2.8,.062,-0.5,-0.7,-1.2,0.4,,huertke01
3,Clint Capela,27,C,74,73,2042,21.4,.604,.002,.280,15.0,31.9,23.5,6.6,1.3,4.1,6.1,15.5,5.6,2.7,8.3,.195,2.1,-0.1,2.0,2.1,,capelca01
4,Bogdan Bogdanović,29,SG,63,27,1848,15.4,.562,.578,.145,1.7,13.0,7.4,15.5,1.8,0.7,7.7,21.6,2.5,1.2,3.7,.095,1.5,-0.2,1.3,1.5,6MOY-6,bogdabo01
5,Danilo Gallinari,33,PF,66,18,1672,14.3,.579,.492,.261,2.3,17.8,10.1,8.5,0.8,0.6,5.4,18.4,2.8,0.8,3.6,.105,1.0,-1.2,-0.2,0.8,,gallida01
6,John Collins,24,PF,54,53,1663,18.7,.610,.273,.262,6.2,21.5,13.9,8.9,1.0,3.0,7.7,20.5,3.6,1.4,5.1,.146,1.5,0.0,1.5,1.5,,collijo01
7,De'Andre Hunter,24,SF,53,52,1577,10.6,.547,.339,.289,1.8,10.4,6.1,6.1,1.1,1.2,9.6,19.9,0.4,0.7,1.1,.034,-2.4,-1.5,-3.9,-0.8,,huntede01
8,Delon Wright,29,SG,77,8,1452,13.8,.576,.431,.234,3.8,12.7,8.3,16.6,3.1,1.2,13.2,10.3,2.2,1.5,3.6,.121,-0.2,2.4,2.2,1.6,,wrighde01
9,Onyeka Okongwu,21,C,48,6,992,19.8,.714,.000,.487,12.8,18.4,15.6,7.6,1.5,5.4,13.8,14.0,3.1,1.1,4.2,.202,0.0,0.8,0.8,0.7,,okongon01
10,Lou Williams,35,PG,56,0,799,12.1,.500,.319,.244,2.2,9.7,6.0,18.6,1.7,0.3,10.8,21.7,0.2,0.4,0.6,.034,-2.0,-1.4,-3.4,-0.3,,willilo02
11,Cam Reddish,22,SF,34,7,797,12.8,.537,.446,.233,2.8,8.7,5.8,6.9,2.2,1.2,10.4,23.2,0.1,0.5,0.6,.034,-0.8,-0.7,-1.5,0.1,,reddica01
12,Timothé Luwawu-Cabarrot,26,SF,52,18,685,9.3,.556,.656,.220,2.7,10.3,6.6,7.7,1.3,0.8,8.9,14.3,0.6,0.3,0.9,.061,-2.3,-1.0,-3.3,-0.2,,luwawti01
13,Gorgui Dieng,32,C,44,3,371,17.3,.624,.607,.232,9.5,26.1,17.8,12.7,1.5,3.1,13.9,16.9,0.8,0.4,1.2,.155,1.4,0.8,2.1,0.4,,dienggo01
14,Skylar Mays,24,SG,28,5,220,11.7,.589,.391,.141,2.5,9.9,6.2,10.8,1.6,0.0,12.8,15.5,0.2,0.1,0.3,.061,-1.2,-0.8,-2.0,0.0,,mayssk01
15,Solomon Hill,30,SF,13,1,139,3.3,.200,.650,.000,4.8,13.3,9.1,10.3,1.4,1.3,4.8,6.6,-0.1,0.1,0.0,-0.006,-5.2,1.2,-4.0,-0.1,,hillso01
16,Jalen Johnson,20,PF,22,0,120,11.3,.590,.317,.171,1.8,21.8,11.9,3.7,1.2,1.5,17.0,19.3,-0.1,0.1,0.0,.013,-3.9,-1.1,-4.9,-0.1,,johnsja05
17,Kevin Knox,22,SF,17,0,111,10.1,.457,.578,.267,5.9,15.7,10.8,8.8,0.9,0.8,3.8,20.6,0.0,0.1,0.1,.031,-4.4,-2.5,-6.9,-0.1,,knoxke01
18,Chaundee Brown Jr.,23,SG,3,2,83,10.3,.525,.600,.240,1.3,17.0,9.2,6.4,1.2,0.0,0.0,14.6,0.1,0.0,0.1,.080,-2.4,-1.7,-4.1,0.0,,brownch05
19,Wes Iwundu,27,SF,3,1,82,7.1,.557,.278,.222,4.0,13.3,8.7,0.0,0.6,0.0,4.8,11.1,0.1,0.0,0.1,.046,-4.1,-2.7,-6.8,-0.1,,iwundwe01
20,Lance Stephenson,31,SG,6,0,70,4.5,.396,.231,.154,1.6,21.8,11.7,19.9,0.0,0.0,22.4,11.2,-0.1,0.0,0.0,-0.023,-6.8,-0.8,-7.7,-0.1,,stephla01
21,Malcolm Hill,26,SG,3,0,46,19.0,.871,.625,.500,4.8,9.5,7.1,2.9,4.3,1.9,0.0,9.3,0.2,0.1,0.2,.252,0.3,3.5,3.8,0.1,,hillma01
22,Cameron Oliver,25,SF,2,0,43,21.4,.705,.200,.200,5.1,10.1,7.6,11.1,1.1,2.1,0.0,16.6,0.2,0.0,0.2,.219,2.3,-0.5,1.7,0.0,,oliveca01
23,Sharife Cooper,20,PG,13,0,39,-5.4,.250,.429,.000,0.0,14.0,7.0,16.3,0.0,0.0,26.3,21.3,-0.2,0.0,-0.2,-0.297,-11.3,-5.0,-16.3,-0.1,,coopesh01
24,Cat Barber,27,PG,3,0,13,-11.2,.000,.000,1.000,8.5,16.7,12.6,26.7,0.0,0.0,14.8,22.7,-0.1,0.0,-0.1,-0.450,-15.8,-7.6,-23.5,-0.1,,barbeca01
